Epoch	Test Loss	Landmark Error
1	0.250304	7.788157
2	0.100044	4.063586
3	0.044199	2.739652
4	0.024176	2.159251
5	0.016092	2.006280
6	0.010698	1.847759
7	0.008595	1.795335
8	0.007518	1.690040
9	0.006687	1.634223
10	0.006352	1.598545
11	0.005895	1.516141
12	0.005625	1.473041
13	0.005270	1.441506
14	0.004922	1.396813
15	0.004756	1.377667
16	0.004694	1.361317
17	0.004499	1.318761
18	0.004294	1.310068
19	0.004247	1.298179
20	0.004107	1.303266
21	0.004045	1.290527
22	0.003962	1.276149
23	0.003888	1.242955
24	0.003797	1.255473
25	0.003668	1.220048
26	0.003658	1.202693
27	0.003602	1.218210
28	0.003543	1.200905
29	0.003466	1.187284
30	0.003390	1.179515
31	0.003312	1.182217
32	0.003296	1.152616
33	0.003241	1.161840
34	0.003199	1.155730
35	0.003176	1.138730
36	0.003148	1.145255
37	0.003116	1.148082
38	0.003082	1.109241
39	0.003014	1.107896
40	0.003058	1.108970
41	0.002945	1.107265
42	0.002976	1.095827
43	0.002941	1.107867
44	0.002938	1.096359
45	0.002916	1.103118
46	0.002891	1.096551
47	0.002840	1.087946
48	0.002780	1.077404
49	0.002763	1.063153
50	0.002787	1.081814
51	0.002746	1.065972
52	0.002740	1.072576
53	0.002672	1.060549
54	0.002643	1.052588
55	0.002649	1.059926
56	0.002618	1.063112
57	0.002573	1.036780
58	0.002588	1.024608
59	0.002585	1.026328
60	0.002482	1.017580
61	0.002482	1.017539
62	0.002556	1.026727
63	0.002559	1.019182
64	0.002419	1.003060
1	0.155818	8.983004
2	0.060886	5.844585
3	0.028460	2.821662
4	0.017557	1.754077
5	0.013125	1.332191
