Epoch	Test Loss	Landmark Error
1	1.636203	8.962069
2	0.192677	6.989822
3	0.092936	5.589144
4	0.045140	4.098806
5	0.032536	3.473991
6	0.027954	2.790706
7	0.023182	2.366506
8	0.019614	2.114082
9	0.018231	1.857082
10	0.015622	1.621335
11	0.015407	1.628368
12	0.014336	1.551604
13	0.013484	1.452647
14	0.012419	1.370763
15	0.011693	1.309313
16	0.010990	1.247886
17	0.010130	1.310143
18	0.010104	1.225949
19	0.010014	1.208970
20	0.008426	1.177930
21	0.008228	1.145559
22	0.007905	1.132488
23	0.007898	1.146064
24	0.007697	1.122428
25	0.007371	1.107519
26	0.007233	1.100609
27	0.007300	1.082306
28	0.006960	1.091078
29	0.006344	1.072734
30	0.006078	1.055952
31	0.006197	1.048230
32	0.005728	1.047915
33	0.006590	1.027877
34	0.006123	1.044865
35	0.005321	1.000677
36	0.005412	1.019193
37	0.005728	0.987833
38	0.005423	0.987703
39	0.005718	0.963616
40	0.004936	0.965655
41	0.005186	0.976187
42	0.005490	0.948932
43	0.005031	0.954531
44	0.004866	0.959114
