Epoch	Test Loss	Landmark Error
1	0.006089	18.130566
2	0.002697	18.104591
3	0.001645	17.988513
4	0.001082	17.964092
5	0.000862	17.955131
6	0.000661	17.892668
7	0.000567	17.926440
8	0.000784	17.939802
9	0.000639	17.952954
10	0.006995	17.930254
11	0.000384	17.862800
12	0.000481	17.748804
13	0.021494	18.106244
14	0.000322	17.905336
15	0.000270	17.857918
16	0.000333	18.024100
17	0.000416	17.946109
18	0.000332	18.164674
19	0.000438	18.242854
20	0.000316	18.020921
21	0.000332	18.172797
22	0.000430	18.225712
23	0.000459	18.160818
24	0.000437	17.868934
25	0.000543	18.316474
26	0.000292	18.354115
27	0.000402	17.884412
28	0.000456	18.392745
29	0.000324	18.268619
30	0.000399	18.293948
31	0.000366	18.349029
32	0.000476	18.026752
33	0.000471	18.017106
34	0.000329	18.023417
35	0.000376	18.345460
36	0.000370	18.048128
37	0.000274	17.833739
38	0.000435	17.896367
39	0.000228	17.861282
40	0.000271	17.744084
41	0.000276	17.782197
42	0.000238	17.839881
43	0.000214	17.844955
44	0.000214	17.746278
45	0.000209	17.783375
46	0.000278	17.764884
47	0.000226	17.849901
48	0.000219	17.804011
49	0.000215	17.823797
50	0.000222	17.852743
51	0.000206	17.800420
52	0.000206	17.840672
53	0.000231	17.823065
54	0.000239	17.828136
55	0.000159	17.841750
56	0.000190	17.815496
57	0.000209	17.824706
58	0.000174	17.841720
59	0.000228	17.904947
60	0.000254	17.847461
61	0.000358	17.862700
62	0.000314	17.920159
63	0.000285	17.907036
64	0.000246	17.823791
65	0.000187	17.833798
66	0.000230	17.783221
67	0.000266	17.914648
68	0.000194	17.826388
69	0.000256	17.802960
70	0.000177	17.850575
71	0.000267	17.792665
72	0.000178	17.836300
73	0.000193	17.777218
74	0.000206	17.790161
75	0.000193	17.797602
76	0.000214	17.815261
77	0.000181	17.798470
78	0.000205	17.796575
79	0.000218	17.771778
80	0.000176	17.827878
81	0.000191	17.818914
82	0.000195	17.758197
83	0.000183	17.888422
84	0.000178	17.871722
85	0.000191	17.838166
86	0.000210	17.906268
87	0.000220	17.843576
88	0.000223	17.819393
89	0.000207	17.816972
90	0.000187	17.886582
91	0.000181	17.799443
92	0.000190	17.782615
