Epoch	Test Loss	Landmark Error
1	0.090469	4.241124
2	0.021622	1.197271
3	0.033758	1.341300
4	0.022815	1.062459
5	0.021332	1.091484
6	0.062516	2.195983
7	0.016984	0.751259
8	0.028673	0.936994
9	0.022019	1.010613
10	0.012668	0.716557
11	0.016586	0.851261
12	0.010108	0.727534
13	0.009346	0.647329
14	0.012504	0.796297
15	0.006553	0.601345
16	0.012974	0.674642
17	0.004504	0.611610
18	0.005858	0.684009
19	0.004671	0.553682
20	0.003127	0.543770
21	0.003939	0.572171
22	0.004818	0.661327
23	0.004564	0.621991
24	0.002566	0.538370
25	0.003036	0.569466
26	0.002396	0.517108
27	0.002107	0.522074
28	0.002456	0.555325
29	0.001957	0.503887
30	0.001910	0.529449
31	0.001873	0.520397
32	0.002208	0.525717
33	0.002142	0.528079
34	0.001747	0.504548
35	0.001690	0.482411
36	0.001999	0.530448
37	0.002004	0.526448
38	0.001914	0.513267
39	0.001836	0.493915
40	0.001722	0.501635
41	0.001680	0.484283
42	0.001824	0.502116
43	0.001700	0.470628
44	0.001728	0.499100
45	0.001475	0.478235
46	0.001541	0.480909
