Epoch	Test Loss	Landmark Error
1	0.254440	8.893485
2	0.078372	7.419211
3	0.039659	5.401099
4	0.032493	4.445615
5	0.024249	3.313442
6	0.021913	2.728868
7	0.017909	2.295883
8	0.018249	2.063326
9	0.015088	1.768414
10	0.017521	1.987720
11	0.013394	1.516574
12	0.011821	1.494451
13	0.012016	1.415801
14	0.011601	1.409441
15	0.009781	1.246537
16	0.009903	1.235883
17	0.010063	1.296047
18	0.009322	1.254215
19	0.008907	1.212682
20	0.009009	1.139333
21	0.008919	1.162625
22	0.010600	1.215079
23	0.007924	1.083610
24	0.008143	1.080046
25	0.008352	1.098807
26	0.007692	1.080761
27	0.007669	1.065995
28	0.008010	1.034945
29	0.006597	1.028598
30	0.006599	1.019926
31	0.006447	1.000849
32	0.006509	0.999278
33	0.006615	1.002104
34	0.006996	0.979960
35	0.006207	0.957852
36	0.007093	0.988677
37	0.006136	0.946728
38	0.006346	0.937014
39	0.006820	0.943893
40	0.006139	0.935904
41	0.005722	0.930824
42	0.006068	0.913358
43	0.006197	0.898090
44	0.005670	0.926588
45	0.005948	0.915082
46	0.006398	0.902458
47	0.006596	0.920741
48	0.006096	0.892069
49	0.005424	0.862360
50	0.006472	0.882393
51	0.007932	0.924046
52	0.008073	0.864479
53	0.006777	0.864310
54	0.005139	0.866457
55	0.006475	0.887178
