Epoch	Test Loss	Landmark Error
1	8.794822	7.898024
2	1.722958	5.932749
3	0.709599	3.847338
4	0.530148	3.171784
5	0.410225	2.656882
6	0.353234	2.373813
7	0.317452	2.202041
8	0.299540	2.058271
9	0.270452	1.961629
10	0.269959	1.923169
11	0.244563	1.755805
12	0.243702	1.763262
13	0.225826	1.682059
14	0.218505	1.644428
15	0.210905	1.614479
16	0.212757	1.581040
17	0.204142	1.554623
18	0.196737	1.539742
19	0.191941	1.497330
20	0.193641	1.487681
21	0.190202	1.443051
22	0.181523	1.421219
23	0.188782	1.417551
24	0.173792	1.382928
25	0.170470	1.354199
26	0.171559	1.332599
27	0.168765	1.351725
28	0.162957	1.324509
29	0.165476	1.330735
30	0.160290	1.300568
31	0.157723	1.285955
32	0.156648	1.263267
33	0.161322	1.256532
34	0.156835	1.267576
35	0.151308	1.231890
36	0.150154	1.222575
37	0.147041	1.221115
38	0.146458	1.187171
39	0.143598	1.160318
40	0.141962	1.169780
41	0.142664	1.185409
42	0.136530	1.127882
43	0.142089	1.149296
44	0.137840	1.127764
45	0.137049	1.121980
46	0.133070	1.106321
47	0.133960	1.114082
48	0.132237	1.082271
49	0.130401	1.078389
50	0.128766	1.077696
51	0.127904	1.065314
52	0.130738	1.067654
53	0.129718	1.062028
54	0.128226	1.054350
55	0.136251	1.084734
56	0.125080	1.036108
57	0.125774	1.037939
58	0.123195	1.011614
59	0.118696	1.009599
60	0.121198	0.998115
61	0.122747	0.994749
62	0.117850	0.993493
63	0.118411	0.984882
64	0.121504	0.991985
65	0.117737	0.961654
66	0.116311	0.968791
67	0.115158	0.972654
68	0.115226	0.963188
69	0.109994	0.936018
70	0.111571	0.933159
71	0.111188	0.925393
72	0.108365	0.919420
73	0.114026	0.931787
74	0.106750	0.909479
75	0.118319	0.925203
76	0.109794	0.902185
77	0.106686	0.905068
78	0.109887	0.894515
79	0.105342	0.892330
80	0.109711	0.907473
81	0.111770	0.875983
82	0.107164	0.878115
83	0.105152	0.886209
84	0.107393	0.863504
85	0.102338	0.878436
86	0.099614	0.842974
87	0.098904	0.847495
88	0.096526	0.828022
89	0.104516	0.837051
90	0.109201	0.865348
91	0.101306	0.830549
92	0.100003	0.819110
93	0.099124	0.813952
94	0.109159	0.844993
95	0.096930	0.796934
96	0.093681	0.800500
97	0.095408	0.806596
98	0.092857	0.783757
99	0.092815	0.784113
100	0.095769	0.804982
101	0.090341	0.756598
102	0.089826	0.755788
103	0.089355	0.748099
104	0.090581	0.756270
105	0.092513	0.774235
106	0.092790	0.766702
107	0.095112	0.766606
108	0.095585	0.776248
109	0.086964	0.739220
110	0.086829	0.740134
111	0.084210	0.723566
112	0.089918	0.740213
113	0.088682	0.723361
114	0.084179	0.713317
115	0.087784	0.730839
116	0.099081	0.807656
117	0.085285	0.706589
118	0.088260	0.710897
119	0.082025	0.696315
120	0.086673	0.690081
121	0.104278	0.798191
122	0.092340	0.713385
123	0.095927	0.784464
124	0.094813	0.771026
125	0.086902	0.704171
126	0.093299	0.725402
127	0.079568	0.679120
128	0.085027	0.677823
129	0.078759	0.677689
130	0.084661	0.689726
131	0.079448	0.656060
132	0.079704	0.659867
133	0.078617	0.666347
134	0.081376	0.665080
135	0.084038	0.696289
136	0.079278	0.645027
137	0.080593	0.653395
138	0.080488	0.648178
139	0.075383	0.633056
140	0.075716	0.637396
141	0.077664	0.659964
142	0.078920	0.657237
143	0.079291	0.649769
144	0.081079	0.655103
145	0.077491	0.646192
146	0.078351	0.646100
147	0.073752	0.630891
148	0.074164	0.621540
149	0.082693	0.650847
150	0.088569	0.650412
151	0.093226	0.712016
152	0.073918	0.611547
153	0.073917	0.612629
154	0.075172	0.616810
155	0.083420	0.622695
156	0.071894	0.609060
157	0.072132	0.605486
158	0.076455	0.625336
159	0.073669	0.612919
160	0.074075	0.606175
161	0.074050	0.618038
162	0.071006	0.597098
163	0.072746	0.595447
164	0.084337	0.692520
165	0.071377	0.600468
166	0.073091	0.610644
167	0.074695	0.615829
168	0.074129	0.595756
169	0.069604	0.571351
170	0.070259	0.588360
171	0.074032	0.607911
172	0.068258	0.573204
173	0.069018	0.575882
174	0.067796	0.566144
175	0.067295	0.577872
176	0.069622	0.580050
177	0.064579	0.553845
178	0.066037	0.557153
179	0.077095	0.620399
180	0.064031	0.550943
181	0.072575	0.585438
182	0.082280	0.641659
183	0.063957	0.543201
184	0.071210	0.590515
185	0.068547	0.544436
186	0.072455	0.558808
187	0.075426	0.612756
188	0.066548	0.558425
189	0.066802	0.555514
190	0.068421	0.551922
191	0.070695	0.566281
192	0.066342	0.551884
193	0.070849	0.570184
194	0.067149	0.553799
195	0.065587	0.538622
196	0.061784	0.540641
197	0.062744	0.532408
198	0.063658	0.534840
199	0.069777	0.576516
200	0.064151	0.543308
201	0.069776	0.568670
202	0.064119	0.550189
203	0.066357	0.526554
204	0.063807	0.535363
205	0.064075	0.537335
206	0.059836	0.528603
207	0.059837	0.511354
208	0.060376	0.524524
209	0.067047	0.535165
210	0.060662	0.518944
211	0.072388	0.591041
212	0.066941	0.562883
213	0.058921	0.512430
214	0.063658	0.533350
215	0.073000	0.601696
216	0.061624	0.527678
217	0.064029	0.539251
218	0.064216	0.530895
219	0.066955	0.555306
220	0.061776	0.527259
221	0.063319	0.519541
222	0.061236	0.514087
223	0.059783	0.517291
224	0.065405	0.549730
225	0.060520	0.508594
226	0.065621	0.549076
227	0.067321	0.548900
228	0.059876	0.513778
229	0.062068	0.512233
230	0.057647	0.500573
231	0.063982	0.518391
232	0.057355	0.496722
233	0.058186	0.496436
234	0.058267	0.493950
235	0.059838	0.505587
236	0.055625	0.477178
237	0.066781	0.527497
238	0.064774	0.519867
239	0.057779	0.499122
240	0.059193	0.506073
241	0.060446	0.501214
242	0.056522	0.492974
243	0.060038	0.494017
244	0.057076	0.480623
245	0.058314	0.499913
246	0.058081	0.495187
247	0.057863	0.492274
248	0.060484	0.498367
249	0.058125	0.487329
250	0.062899	0.537054
251	0.056051	0.482783
252	0.055902	0.484426
253	0.054379	0.471558
254	0.056633	0.490476
255	0.059707	0.491557
256	0.057907	0.483201
257	0.056659	0.481465
258	0.056610	0.495436
259	0.055972	0.484368
260	0.055977	0.486342
261	0.058610	0.491565
262	0.057914	0.493642
263	0.054287	0.474578
264	0.061530	0.527256
265	0.058879	0.506885
266	0.057547	0.497142
267	0.058843	0.505179
268	0.055406	0.480145
269	0.054303	0.470970
270	0.055289	0.483523
271	0.059597	0.502124
272	0.053041	0.461296
273	0.054082	0.474629
274	0.051956	0.457039
275	0.052369	0.463852
276	0.053454	0.464717
277	0.055441	0.482011
278	0.058815	0.495282
279	0.062301	0.499846
280	0.055324	0.470161
281	0.052591	0.465564
282	0.054284	0.466671
283	0.051919	0.459928
284	0.057531	0.490138
285	0.053054	0.460380
286	0.054803	0.471815
287	0.053259	0.456668
288	0.053932	0.470484
289	0.052191	0.454571
290	0.061360	0.530573
291	0.057047	0.488271
292	0.053284	0.454900
293	0.053570	0.465533
294	0.052565	0.464548
295	0.054647	0.463578
296	0.054537	0.465062
297	0.056487	0.484219
298	0.055141	0.474261
299	0.053797	0.467242
300	0.052986	0.460210
301	0.055546	0.484012
302	0.059729	0.505615
303	0.050065	0.440651
304	0.055225	0.481098
305	0.052331	0.455147
306	0.053237	0.466545
307	0.052531	0.464121
308	0.051128	0.444442
309	0.055323	0.474023
310	0.050295	0.442305
311	0.051981	0.451974
312	0.053936	0.471295
313	0.049953	0.439211
314	0.052196	0.453879
315	0.054062	0.463837
316	0.054569	0.453700
317	0.056738	0.464141
318	0.051999	0.455597
319	0.055826	0.458220
320	0.052142	0.459924
321	0.051017	0.443623
322	0.049519	0.438569
323	0.051953	0.445040
324	0.052205	0.460913
325	0.049515	0.432468
326	0.051833	0.457188
327	0.051402	0.446257
328	0.051953	0.442487
329	0.051458	0.453181
330	0.051011	0.439386
331	0.050348	0.445118
332	0.049322	0.432011
333	0.053406	0.439142
334	0.052603	0.454461
335	0.051148	0.443030
336	0.051004	0.449592
337	0.049482	0.429391
338	0.048596	0.432249
339	0.051875	0.450824
340	0.050281	0.440436
341	0.054295	0.467302
342	0.057105	0.490119
343	0.049208	0.433890
344	0.050808	0.440327
345	0.048614	0.425485
346	0.048388	0.420463
347	0.049775	0.436025
348	0.052335	0.459101
349	0.051667	0.455997
350	0.051879	0.439192
351	0.050306	0.440145
352	0.049344	0.427241
353	0.048847	0.435383
354	0.053662	0.467864
355	0.051089	0.440405
356	0.048778	0.428041
357	0.056879	0.486875
358	0.053759	0.467147
359	0.051118	0.440297
360	0.050495	0.442026
361	0.048710	0.429992
362	0.050493	0.431862
363	0.047732	0.422426
364	0.048981	0.431177
365	0.047559	0.413388
366	0.056215	0.478919
367	0.048103	0.423590
368	0.053931	0.448487
369	0.054980	0.450584
370	0.052745	0.441629
371	0.048290	0.429208
372	0.056350	0.490677
373	0.049542	0.432678
374	0.050741	0.439143
375	0.049735	0.428737
376	0.050356	0.441721
377	0.048052	0.421810
378	0.062277	0.510125
379	0.053675	0.464990
380	0.055553	0.474296
381	0.048423	0.426706
382	0.050039	0.429525
383	0.050128	0.442066
384	0.047972	0.415736
385	0.051981	0.453166
366	0.046510	0.413881
367	0.047373	0.411986
368	0.046886	0.405931
369	0.046579	0.411780
370	0.046091	0.408216
371	0.045738	0.410013
372	0.044786	0.405710
373	0.045121	0.408403
374	0.045226	0.408370
375	0.044757	0.405016
376	0.044407	0.403589
377	0.044331	0.402615
378	0.044728	0.405501
379	0.045451	0.406273
380	0.045452	0.407649
381	0.044516	0.402170
382	0.044571	0.402733
383	0.045494	0.405882
384	0.044657	0.406172
385	0.044698	0.406073
386	0.044409	0.403185
387	0.045410	0.406381
388	0.044561	0.401761
389	0.044640	0.405506
390	0.044813	0.402930
391	0.044504	0.404343
392	0.044428	0.401232
393	0.045278	0.404233
394	0.044079	0.400315
395	0.044148	0.401483
396	0.044123	0.401502
397	0.043795	0.398298
398	0.043460	0.395676
399	0.043638	0.395191
400	0.043647	0.397061
401	0.044333	0.401359
402	0.043998	0.402386
403	0.044501	0.403582
404	0.044294	0.400857
405	0.043802	0.395890
406	0.043667	0.396411
407	0.044555	0.401371
408	0.043621	0.396719
409	0.043717	0.397719
410	0.044133	0.398634
411	0.043742	0.394650
412	0.043492	0.396453
413	0.043542	0.397953
414	0.044050	0.399195
415	0.043175	0.394170
416	0.043692	0.398846
417	0.043753	0.399178
418	0.044617	0.400129
419	0.043859	0.400521
420	0.043499	0.397503
421	0.043663	0.395232
422	0.043831	0.398939
423	0.043987	0.398826
424	0.043221	0.393884
425	0.043443	0.396418
426	0.043743	0.391989
427	0.043327	0.395120
428	0.043682	0.395406
429	0.043646	0.395684
430	0.043023	0.391153
431	0.043957	0.397499
432	0.043221	0.393830
433	0.043787	0.395378
434	0.043653	0.397578
435	0.043582	0.395785
436	0.043424	0.396618
437	0.043535	0.394974
438	0.043435	0.393893
439	0.042837	0.390026
440	0.043387	0.394100
441	0.043087	0.393223
442	0.044232	0.399187
443	0.042740	0.390232
444	0.042995	0.391813
445	0.043545	0.394887
